Geneid	count
Xkr4	1246
Gm19938	43
Gm10568	2
Rp1	5
Sox17	61
Mrpl15	635
Lypla1	446
Gm19860	0
Tcea1	1981
Rgs20	467
Atp6v1h	3081
Oprk1	130
Npbwr1	88
Rb1cc1	1814
Fam150a	0
St18	256
Pcmtd1	1971
Sntg1	310
Rrs1	591
Adhfe1	258
2610203C22Rik	7
3110035E14Rik	2162
Mybl1	62
Vcpip1	1296
1700034P13Rik	0
Sgk3	297
Gm6195	0
6030422M02Rik	30
Snhg6	342
Snord87	1
Gm10567	11
Tcf24	1
Ppp1r42	6
Cops5	2301
Cspp1	423
Arfgef1	3204
Cpa6	3
Prex2	354
A830018L16Rik	1555
4932411L15	0
Sulf1	490
Slco5a1	1078
Prdm14	0
Ncoa2	2525
Tram1	819
Lactb2	134
Xkr9	0
Gm5523	0
Eya1	222
Msc	45
Trpa1	173
Kcnb2	354
Terf1	116
Gm106	22
Gm7634	0
4930444P10Rik	18
Rpl7	8147
Rdh10	274
Stau2	3802
Ube2w	1243
Tceb1	1391
D030040B21Rik	0
Tmem70	653
Ly96	12
Jph1	302
Gdap1	4546
Pi15	35
Crispld1	74
Crisp4	1
Defb44-ps	0
Defb18	0
Defb41	0
Gm15386	0
Tfap2d	92
Tfap2b	31
Pkhd1	6
4930486I03Rik	0
Mir206	0
Mir133b	0
Il17a	0
Il17f	0
Mcm3	291
6720483E21Rik	2
Paqr8	1677
Efhc1	67
Tram2	39
Tmem14a	155
Gsta3	3
Gm4956	0
Khdc1a	0
Khdc1c	0
Khdc1b	2
Kcnq5	1679
Rims1	1213
Rims1-2	1013
4933415F23Rik	0
Mir30a	0
Mir30c-2	0
Ogfrl1	1355
Gm19673	0
B3gat2	694
Smap1	2639
1110058L19Rik	202
Fam135a	1029
Col9a1	67
Col19a1	452
Lmbrd1	2100
Bai3	4547
Gm20172	0
4931408C20Rik	0
Gm5524	0
Gm7846	4
Gm597	0
Gm6462	0
Gm9898	1
Phf3	2261
Ptp4a1	2048
4931428L18Rik	0
Lgsn	1
4930521A18Rik	0
Gm4850	0
Gm6489	0
Khdrbs2	282
Gm9839	8
Gm5415	17
Prim2	401
1700001G17Rik	14
Rab23	822
Bag2	322
Zfp451	475
Gm15455	1
Bend6	4658
Dst	7417
Mir5103	2
Ccdc115	535
Imp4	449
D1Ertd448e	222
Ptpn18	18
Prss39	0
Cfc1	0
Prss40	0
Fam123c	1656
AA619741	0
Arhgef4	1511
Fam168b	10507
Plekhb2	3863
Hs6st1	3126
Uggt1	2018
Neurl3	16
Arid5a	84
4632411B12Rik	1534
Lman2l	703
Cnnm4	317
Cnnm3	806
Ankrd23	39
Ankrd39	148
Sema4c	1418
Fam178b	4
Cox5b	2091
Actr1b	2464
4933424G06Rik	12
Zap70	38
Tmem131	3105
Vwa3b	38
Cnga3	3
Inpp4a	3223
6330578E17Rik	1777
Unc50	550
Mgat4a	1059
4930594C11Rik	1
LOC100861893	0
2010300C02Rik	1007
Gm19863	2
Tsga10	201
Lipt1	97
Mitd1	95
Mrpl30	1019
Lyg2	0
Lyg1	0
Txndc9	1299
Eif5b	2842
Rev1	694
Aff3	2395
Lonrf2	5351
Chst10	2253
Gm19877	0
Nms	1
Pdcl3	898
Npas2	868
Rpl31	3843
Tbc1d8	577
D1Bwg0212e	729
Snord89	1
Rnf149	393
Creg2	1497
Rfx8	4
Gm3646	0
1700066B17Rik	0
Map4k4	8779
Gm16894	26
Il1r2	10
Il1r1	67
Il1rl2	21
Il1rl1	6
Il18r1	1
Il18rap	2
Slc9a4	13
Slc9a2	73
Mfsd9	381
Tmem182	3
4930448I06Rik	0
2610017I09Rik	1087
Pou3f3	2402
2900092D14Rik	733
Mrps9	401
Gpr45	360
Tgfbrap1	1867
AI597479	770
Fhl2	317
Gm8210	4
Nck2	1257
LOC100861934	5
1500015O10Rik	137
Uxs1	499
Gm19587	0
Tpp2	1731
A530098C11Rik	16
1700029F09Rik	102
Kdelc1	253
Bivm	884
Ercc5	549
LOC100861960	0
4832428D23Rik	1
Gulp1	85
4930521E06Rik	0
Col3a1	1611
Col5a2	648
Wdr75	838
Gm5526	11
Slc40a1	545
Gm3852	0
Gm4776	0
Dnahc7b	130
Dnahc7c	63
Slc39a10	3634
C230029F24Rik	0
Tmeff2	955
9330175M20Rik	5
Sdpr	149
Obfc2a	154
Gm17767	0
Myo1b	1569
Stat4	39
Gm3940	0
Stat1	221
Gls	4189
Nab1	1156
Tmem194b	124
Mfsd6	2111
Inpp1	477
Hibch	205
1700019D03Rik	49
Mstn	42
1700019A02Rik	1
Pms1	101
Ormdl1	245
Osgepl1	175
Asnsd1	905
Dnahc7a	46
Stk17b	144
Hecw2	1188
Ccdc150	6
Gtf3c3	655
Pgap1	2262
Ankrd44	828
Sf3b1	6206
Coq10b	379
Hspd1	5213
Hspe1	1039
Mob4	2334
Rftn2	487
Mars2	319
Boll	2
Plcl1	647
Gm6644	0
9130227L01Rik	18
Hsfy2	0
Satb2	6301
9130024F11Rik	663
BC055402	8
4930558J18Rik	10
1700066M21Rik	547
1110034B05Rik	229
9430016H08Rik	355
Spats2l	913
Kctd18	292
Sgol2	103
Aox1	20
Aox3	17
Aox4	154
Aox3l1	1
Bzw1	9703
Clk1	1027
Ppil3	427
Nif3l1	667
Orc2	586
Gm15834	3
Fam126b	877
Ndufb3	742
Gm20257	21
Als2cr12	4
Cflar	353
Casp8	95
Trak2	3372
Stradb	1628
Als2cr11	0
Als2cr4	608
Mpp4	13
Als2	1667
Cdk15	7
Fzd7	290
Gm973	90
Sumo1	1559
Nop58	1362
Snord70	2
Snord11	0
Bmpr2	1888
Gm20272	213
Fam117b	3570
Ica1l	1479
Wdr12	782
Carf	251
Gm15464	10
Nbeal1	317
Cyp20a1	368
Abi2	9193
Raph1	2396
Gm11575	0
Gm11578	0
Cd28	2
Gm11579	0
Ctla4	1
Icos	5
9530026F06Rik	1
Pard3b	171
Nrp2	2675
4930487H11Rik	2
Ino80d	959
Gm11602	100
Gm20342	27
Ndufs1	2075
Eef1b2	4482
Snora41	7
Gpr1	7
Zdbf2	738
Adam23	2635
Dytn	3
Mdh1b	12
Fastkd2	288
4933402D24Rik	9
Gm13749	23
Klf7	1161
Creb1	1591
Mettl21a	143
2810408I11Rik	4
Ccnyl1	525
Fzd5	75
Plekhm3	721
Akr1cl	0
Gm8550	0
Cryge	0
Crygd	0
Crygc	0
Crygb	4
Cryga	2
D630023F18Rik	143
Idh1	9142
Pikfyve	1207
Pth2r	51
Crygf	0
Mtap2	20515
Gm10558	5
Unc80	847
Rpe	442
1110028C15Rik	294
Acadl	635
LOC100862127	0
Myl1	3
Lancl1	2221
Cps1	24
Erbb4	735
Gm19335	0
Ikzf2	178
Spag16	24
Vwc2l	470
Bard1	59
Abca12	4
Atic	1333
Fn1	2877
Apol7d	7
Gm8883	0
4933417E11Rik	4
Gm5528	0
Mreg	46
Pecr	84
Tmem169	1207
Xrcc5	277
March4	2748
Smarcal1	1211
Ankar	0
Rpl37a	2996
Igfbp2	1693
Igfbp5	7006
Tnp1	0
1700027A15Rik	0
Pinc	0
D530049I02Rik	0
6030407O03Rik	10
Tns1	500
Rufy4	2
LOC100862357	0
Cxcr2	3
Cxcr1	0
Mir1928	0
Arpc2	6353
Gpbar1	0
Aamp	2477
Pnkd	2053
Tmbim1	137
Gm216	30
Slc11a1	21
Ctdsp1	561
Mir26b	0
Vil1	16
Usp37	691
Rqcd1	1486
Plcd4	111
Zfp142	780
Bcs1l	341
Rnf25	649
Stk36	299
Ttll4	412
Cyp27a1	15
Prkag3	0
Wnt6	27
Wnt10a	2
