Geneid	count
0610005C13Rik	0.00
0610007C21Rik	669.00
0610007L01Rik	951.00
0610007N19Rik	32.00
0610007P08Rik	421.00
0610007P14Rik	682.00
0610007P22Rik	348.00
0610008F07Rik	0.00
0610009B14Rik	0.00
0610009B22Rik	205.00
0610009D07Rik	892.00
0610009E02Rik	3.40
0610009L18Rik	38.00
0610009O20Rik	575.80
0610010B08Rik	62.96
0610010F05Rik	3899.00
0610010K14Rik	467.00
0610010O12Rik	96.67
0610011F06Rik	94.00
0610011L14Rik	840.00
0610012G03Rik	682.00
0610012H03Rik	0.00
0610025J13Rik	1.00
0610030E20Rik	352.87
0610031J06Rik	479.00
0610031O16Rik	0.00
0610037L13Rik	407.00
0610037P05Rik	776.00
0610038B21Rik	1.00
0610038L08Rik	0.00
0610039K10Rik	2.00
0610040B10Rik	13.00
0610040F04Rik	1.00
0610040J01Rik	105.00
0610043K17Rik	0.00
0910001L09Rik	399.00
100043387	84.21
1100001G20Rik	0.00
1110001A16Rik	217.00
1110001J03Rik	137.00
1110002B05Rik	1004.00
1110002L01Rik	144.12
1110002N22Rik	105.00
1110003E01Rik	1560.00
1110004E09Rik	456.32
1110004F10Rik	2747.71
1110005A03Rik	280.00
1110006O24Rik	27.00
1110007C09Rik	36.00
1110008E08Rik	0.00
1110008F13Rik	1059.59
1110008J03Rik	204.00
1110008L16Rik	217.00
1110008P14Rik	542.00
1110012J17Rik	1021.00
1110012L19Rik	318.00
1110014N23Rik	828.00
1110015O18Rik	89.00
1110017D15Rik	57.00
1110017F19Rik	2.00
1110018G07Rik	4163.00
1110018J18Rik	59.00
1110019D14Rik	12.00
1110020A21Rik	9.00
1110020C17Rik	5.00
1110020G09Rik	487.00
1110021J02Rik	322.08
1110021L09Rik	387.00
1110028C15Rik	271.80
1110028F11Rik	0.00
1110028F18Rik	0.00
1110031I02Rik	87.00
1110032A03Rik	229.00
1110032A04Rik	14.00
1110032F04Rik	164.00
1110034A24Rik	225.39
1110034B05Rik	204.37
1110034G24Rik	108.00
1110035M17Rik	7.00
1110036E04Rik	0.00
1110037F02Rik	1033.00
1110038B12Rik	196.00
1110038D17Rik	379.00
1110038F14Rik	214.00
1110046J04Rik	14.00
1110049F12Rik	643.00
1110050K14Rik	4.00
1110051M20Rik	1530.00
1110054M08Rik	26.00
1110054O05Rik	506.00
1110057K04Rik	1035.00
1110058L19Rik	190.00
1110059E24Rik	378.00
1110059G10Rik	245.00
1110059M19Rik	47.00
1110065P20Rik	450.06
1110067D22Rik	2278.00
1190002F15Rik	10.00
1190002H23Rik	143.00
1190002N15Rik	477.00
1190003J15Rik	1.00
1190003K10Rik	0.00
1190005F20Rik	442.00
1190005I06Rik	60.00
1190007F08Rik	65.96
1190007I07Rik	34.00
1200009I06Rik	10.00
1200011I18Rik	1092.84
1200011M11Rik	536.74
1200014J11Rik	634.00
1200016B10Rik	137.00
1300001I01Rik	1447.00
1300002E11Rik	92.00
1300002K09Rik	12.00
1300010F03Rik	591.00
1300014I06Rik	81.00
1300015D01Rik	0.00
1300017J02Rik	1.00
1300018I17Rik	992.00
1300018J18Rik	333.57
1500001M20Rik	218.00
1500002F19Rik	0.00
1500002O10Rik	1.00
1500002O20Rik	432.00
1500003O03Rik	1763.00
1500004A13Rik	554.86
1500009C09Rik	849.00
1500009L16Rik	529.00
1500010J02Rik	1717.00
1500011B03Rik	1479.00
1500011H22Rik	727.00
1500011K16Rik	153.00
1500012F01Rik	160.00
